"id","create_uid","create_date","name","kejuruan_id","write_uid","write_date"
138,6,2020-02-13 03:34:19,Autocad,8,6,2020-02-13 03:34:19
139,6,2020-02-13 03:38:12,Processing,20,6,2020-02-13 03:38:12
118,6,2020-02-10 04:59:17,Las SMAW 1G,6,6,2020-02-13 03:42:11
140,6,2020-02-13 03:43:17,Menjahit Upper Sepatu,14,6,2020-02-13 03:43:17
141,6,2020-02-13 03:58:19,Pembatik Level II,22,6,2020-02-13 03:58:19
142,6,2020-02-13 04:06:44,Tata Rias Pengantin dan Hantaran,15,6,2020-02-13 04:06:44
143,6,2020-02-13 04:08:29,Meubelair,11,6,2020-02-13 04:08:29
144,6,2020-02-13 04:09:21,Teknisi Sepeda Motor,5,6,2020-02-13 04:09:21
145,6,2020-02-13 04:10:10,Teknik Pendingin / AC,7,6,2020-02-13 04:10:10
146,6,2020-02-13 05:53:12,Pengolahan administrasi,12,6,2020-02-13 05:53:12
147,6,2020-02-13 05:57:13,Pengoperasian Mesin bubut,8,6,2020-02-13 05:57:13
148,6,2020-02-13 05:58:47,Teknisi Refrigerasi Komersial,7,6,2020-02-13 05:58:47
149,6,2020-02-13 06:03:55,Tata Boga,20,6,2020-02-13 06:03:55
150,6,2020-02-13 06:04:45,Sablon,24,6,2020-02-13 06:04:45
151,6,2020-03-19 03:31:45,Las GTAW 3G,6,6,2020-03-19 03:31:45
152,6,2020-04-02 04:26:00,Finishing Teknik Semprot,11,6,2020-04-02 04:26:00
153,6,2020-04-02 04:44:58,Barbershop,15,6,2020-04-02 04:44:58
154,6,2020-06-09 01:39:20,Barista,17,6,2020-06-09 01:39:20
155,6,2020-06-09 05:22:30,Mesin Logam,8,6,2020-06-09 05:22:30
156,6,2020-06-10 01:28:22,Mobil Bensin,5,6,2020-06-10 01:28:22
157,6,2020-06-10 03:34:17,PLC,7,6,2020-06-10 03:34:17
158,6,2020-06-10 08:14:08,Motion Graphic,13,6,2020-06-10 08:14:08
159,6,2020-06-11 02:36:11,Kerajinan Kain Percah,24,6,2020-06-11 02:36:11
160,6,2020-06-12 03:36:52,Pemasangan Instalasi Listrik Bangunan Sederhana,7,6,2020-06-12 03:36:52
161,6,2020-07-09 08:20:39,Pelayanan Pelanggan,,6,2020-07-09 08:20:39
162,6,2020-07-09 08:22:06,Pelayanan Pelanggan/Customer Service,12,6,2020-07-09 08:25:17
163,6,2020-07-14 01:38:37,Pemasangan Jaringan Komputer,13,6,2020-07-14 01:38:37
164,6,2020-07-14 05:46:57,Pekerja Kandang,30,6,2020-07-14 05:46:57
165,6,2020-07-15 02:25:41,Mobil Diesel,5,6,2020-07-15 02:25:41
166,6,2020-07-15 02:26:49,Service Handphone,9,6,2020-07-15 02:26:49
167,6,2020-07-15 02:47:13,Las Listrik,6,6,2020-07-15 02:47:13
168,6,2020-07-15 03:12:02,Paving Batako,11,6,2020-07-15 03:12:02
169,6,2020-07-15 04:50:52,Penyolderan Perak dan Kuningan,7,6,2020-07-15 04:50:52
64,1,2017-10-15 15:38:47,Budidaya,19,6,2020-07-16 12:46:33
171,6,2020-07-22 01:31:54,Pemasangan Instalasi Otomasi Listrik Industri,7,6,2020-07-22 01:31:54
